ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
7.080794504,219.6742619,22210.61308,5.875041088,333.7757766,398.5177031,11.50231563,112.4122104,2.99425921,0
6.783888468,193.6535806,13677.10644,5.171453573,323.7286632,477.8546873,15.05606409,66.39629295,3.250022229,0
6.010617577,184.5585817,15940.57327,8.165222041,421.4860892,314.5298134,20.31461674,83.70793779,4.867287404,1
8.097453771,218.9924361,18112.28445,6.196947394,333.7757766,376.5698034,17.74626352,59.90994087,4.279082404,1
8.072612403,210.2697797,16843.36393,8.793458648,359.5161693,559.1675739,17.26357604,68.73898911,5.082206247,0
6.552847474,198.8069397,34006.42073,8.691206175,274.9043512,477.1639068,14.36963009,78.17306259,4.687986155,1
8.923980608,135.9384675,27919.77067,12.36328483,333.7757766,415.6294838,11.94991382,69.31487958,4.15558319,1
9.624726886,217.3727797,25175.75416,9.883945512,329.1744541,394.0548353,20.27757141,85.8402577,2.615257476,1
7.046548537,128.4825174,30569.81055,4.449122633,281.7247145,348.2645907,15.14200557,58.15730431,2.869226102,1
8.137767883,203.8618673,24172.70331,6.844017626,305.8325797,470.8362645,19.23296141,30.7084213,5.003825786,1
7.082300649,169.4689273,29846.71906,5.443386888,350.401849,353.0303803,18.95953438,30.38909611,3.485577388,1
6.084360116,155.2714251,27310.06085,7.817129175,333.7757766,436.9889344,12.65751247,66.39629295,4.29811092,1
7.080794504,167.1044296,30362.68395,9.990332197,362.2616361,432.0307099,9.971476405,94.98410127,3.346057063,1
5.716251354,184.229295,19393.46986,5.299163637,290.2764546,502.9936866,19.64389586,68.23637028,3.433135385,1
5.827541212,191.0049304,25863.34324,4.823831505,316.0255129,370.3572882,18.36185806,48.65810862,3.179128741,1
4.227537386,201.4474866,13122.32958,6.932557933,374.8435383,402.6607735,22.8232931,76.46942648,4.479628314,0
7.080794504,253.1496512,12037.77039,4.384357707,325.4132479,422.3892918,13.16829923,40.05215065,3.399945492,0
4.1502143,174.9267412,41489.63981,5.569868658,333.7757766,425.2500465,12.53400873,86.68363454,3.502370872,0
7.233538435,231.5608322,16621.49479,6.073040907,333.7757766,475.8216449,8.688714873,35.83396853,3.679015068,0
6.352973105,244.8467167,13858.70394,9.179441915,333.7757766,403.5604823,12.52012614,59.04699355,4.15549464,0
7.080794504,191.5316301,12885.51691,6.979954608,328.6002209,596.7510259,13.44751311,50.75606432,2.372924722,0
10.31640038,217.2668424,10676.50848,3.445514571,397.754946,492.2064736,12.81273221,72.28192022,3.407349428,0
7.080794504,200.8398944,20743.3484,6.905988081,264.6435335,450.3617196,10.20915261,70.49560183,3.808912954,0
6.443753668,196.6159916,25740.41259,2.484379977,435.6727646,352.3536228,16.92441864,33.05188771,4.498684931,1
6.013160966,218.8432561,21573.74757,9.295852001,321.1683132,444.276635,14.74434737,62.44323905,3.455622541,0
6.641500687,198.8844095,27867.48676,7.327729345,318.4083972,573.7237623,13.19171963,81.55111393,4.694311216,0
7.080794504,172.2146828,26653.76497,7.271684606,335.8944564,510.0297248,13.80987403,85.38168152,4.492387447,1
5.089387791,147.9952711,39659.8769,8.424877818,333.7757766,498.7008895,14.94358481,84.25426404,3.054045201,1
6.467868302,236.6946481,7656.413248,9.840948554,214.4608338,356.3478419,14.41273359,54.64117553,2.861063943,0
4.850104171,186.6761758,32808.3075,7.496262513,293.7579269,392.7004931,10.63076915,85.15798297,3.885385518,0
5.541979019,185.6718736,20143.06526,10.23617597,209.4710584,517.9357855,18.46401541,49.37131866,3.672975983,1
8.858401531,254.6175187,9624.300462,7.954015627,348.4081949,344.3033625,7.935467758,78.10854982,5.525726338,0
5.218989651,164.7909916,27007.88691,6.592516959,333.7757766,422.2238018,14.07087898,73.92031968,4.383942554,0
7.606066882,248.0414533,14609.97688,6.356555064,322.3565719,275.317146,11.70609519,94.77524378,4.58147746,0
9.089421098,208.91472,32238.07778,6.895013645,321.0804652,449.2599756,12.51464126,89.21307429,4.430116016,1
7.499844232,210.9850337,23707.4653,7.148518353,333.7757766,484.8433398,18.0819566,52.96746903,4.454476673,0
4.731320076,230.9386935,15517.39112,6.614705132,333.7757766,384.8067303,16.62093299,64.03825998,5.457892224,1
6.613709118,141.1289215,25648.5695,7.222971557,295.2368921,374.7703158,14.03826326,74.2992498,3.539771111,0
6.347020018,97.2809086,19743.14842,3.40268159,305.4312362,502.9190132,15.09409115,86.55416824,4.526350939,1
5.287982808,245.0234611,27733.7131,7.135063442,238.8440037,464.0748499,13.45217949,55.64236317,3.311034005,0
6.640862809,215.0608669,16488.04766,6.642337169,304.7574336,507.1288333,11.9791568,18.01527236,4.708268602,1
6.539546128,215.4452044,28979.7676,7.015365326,312.3354721,426.0834788,17.95000056,54.98387785,4.076403287,1
5.849778285,229.9366869,27435.30656,6.574957586,277.0330189,596.4032157,14.90855831,67.64448382,3.643815888,0
6.692531669,200.4043509,37033.15209,4.727072323,280.8449162,376.6727942,12.48525699,57.81848371,2.942115367,1
7.76414261,186.1324319,25926.07564,8.011206636,333.7757766,399.1317179,22.84652911,35.24367839,4.105178268,0
8.154531511,168.0989354,21361.19705,6.19884398,333.7757766,419.173312,12.30266857,59.88736706,2.460464867,1
6.039823242,164.0263403,9943.637599,7.723304587,350.7562609,374.7947194,16.66844562,65.54266159,3.923766075,0
7.957113516,199.1075048,20425.76649,8.171994841,380.0781732,333.1565382,14.5378502,62.24635787,3.729873301,0
6.710633528,203.6429167,23748.18399,6.726664086,342.4414335,455.967558,15.87954857,63.67695249,3.863286909,0
8.551077748,216.4159321,28909.29028,6.936782341,295.2237067,510.8950007,16.20237144,79.85932286,4.04637969,0
