ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
8.617245467,204.8904555,37801.2198,7.300211873,368.5164413,452.0561192,10.37978308,86.99097046,2.963135381,0
3.716080075,129.4229205,17345.33483,6.635245884,262.1028414,557.3071228,15.18001312,56.32907628,4.500656275,0
8.099124189,224.2362594,21528.89227,9.275883603,385.1884775,277.4389167,16.86863693,66.42009251,3.05593375,0
8.316765884,214.3733941,28616.305,8.059332377,356.8861356,320.2645921,18.4365245,100.3416744,4.628770537,0
9.092223456,181.1015092,17212.83559,6.546599974,310.1357375,488.3600266,11.55827944,31.99799273,4.075075425,0
5.584086638,188.3133238,20977.18153,7.544868789,326.6783629,353.2969654,8.39973464,54.91786184,2.559708228,0
10.22386216,248.0717353,32451.26764,7.513408466,393.6633955,278.3575556,13.78969532,84.60355617,2.672988737,0
8.635848719,203.3615226,13184.25947,4.563008686,303.3097712,414.2840075,12.3638167,62.79830896,4.401424715,0
7.356132189,118.9885791,16604.21908,7.804173553,268.6469407,406.9272716,12.70604897,53.92884577,3.595017181,0
11.18028447,227.2314692,19114.22357,9.077200017,404.0416347,430.8076861,17.92780641,71.97660103,4.370561937,0
7.360640106,165.5207973,22881.78018,7.550700907,326.6243535,436.1340575,15.58681044,78.74001566,3.662291783,0
7.974521649,218.6933005,26010.42726,8.110384501,378.2371737,446.3600765,14.5257457,76.48591118,4.011718108,0
7.119824384,156.7049933,22490.54115,3.606036091,282.3440505,390.263676,15.92953591,79.50077834,3.445756223,0
6.274352436,150.1749234,20713.26657,6.838223471,299.4157813,528.9251854,19.37080718,76.50999553,4.413974183,0
7.496232208,205.3449822,21158.82885,5.072557774,343.2219262,301.8649425,13.2283111,70.30021265,4.777382337,0
6.347271761,186.7328807,23900.70413,9.629596276,364.4876872,571.7966277,11.53978119,75.07161729,4.376348291,0
7.0517858,211.0494061,18489.84128,10.09479601,375.6928266,284.143351,20.39702184,56.65160379,4.268428858,0
